Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),2/12/2019,1/1/2020,3/2/2020,2/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,3/8/2020,1/9/2020,1/10/2020,2/11/2020
ERF FP Equity,EUROFINS SCIEN,15890080768,1166,"Consumer, Non-cyclical",EN Paris,LUXEMBOURG,LU,4.166666508,891.15,439.61,3/12/2020,11/9/2020,56.59,51.5,55.42,53.19,50.51,50.44,55.49,66.78,63.12,67.09,79.58,81.06,80.47
VIPS US Equity,VIPSHOP HOLDINGS,15890012160,1167,Communications,New York,CHINA,KY,4.206896782,24.46,11.53,2/28/2020,8/18/2020,90.21,12.85,14.17,12.9,12.62,15.67,15.2,17.14,19.77,22.9,16.33,15.85,21.36
036570 KS Equity,NCSOFT CORP,15874345984,1168,Communications,Korea SE,SOUTH KOREA,KR,4.676470757,836.19,398.52,12/3/2019,7/6/2020,50.36,410.55,468,536.98,554.9,499.51,525.25,666.53,743.39,706.62,698.33,692.92,685.64
UI US Equity,UBIQUITI INC,15867774976,1169,Communications,New York,UNITED STATES,US,2,271.32,110.01,3/16/2020,11/11/2020,27.7,196.93,188.98,165.28,139.88,134.34,155.62,181.04,171.06,191.64,185.78,168.54,185.36
ETSY US Equity,ETSY INC,15839547392,1170,Communications,NASDAQ GS,UNITED STATES,US,4.764705658,154.88,29.95,3/23/2020,10/14/2020,229.17,43.12,44.3,49.36,58.84,35.45,64.44,78.59,111.21,126.62,125.05,131.69,126.44
VAR US Equity,VARIAN MEDICAL S,15834724352,1171,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.25,176.19,89.62,3/23/2020,8/4/2020,35.18,134.53,142.01,140.22,126.55,94.44,111.37,122.54,121.52,174.17,173.8,171.63,172.54
9143 JP Equity,SG HOLDINGS CO L,15799224320,1172,Industrial,Tokyo,JAPAN,JP,2.818181753,27.61,9.18,3/13/2020,10/20/2020,103.86,12.07,11.32,11.01,9.91,11.66,14.31,16.5,16.15,21.54,22.87,25.82,24.66
VT US Equity,VANGUARD-TOT WOR,15742524416,1173,Funds,NYSE Arca,UNITED STATES,US,0,88.73,53.7,3/23/2020,11/9/2020,14.04,78.32,80.99,80.17,76,60.03,67.51,73.86,75.3,79.68,84.12,81.29,79.97
600893 CH Equity,AECC AVIATION-A,15729949696,1174,Industrial,Shanghai,CHINA,CN,5,8.09,2.73,2/4/2020,8/10/2020,115.96,2.86,3.11,2.77,3.42,2.94,3.5,3.42,3.38,5.81,6.51,6.07,5.37
8053 JP Equity,SUMITOMO CORP,15729293312,1175,"Consumer, Cyclical",Tokyo,JAPAN,JP,3.200000048,15.69,10.17,4/1/2020,2/17/2020,-14.63,15.19,14.95,15.08,14.14,10.17,11.2,11.89,11.48,11.24,13.21,11.92,11.27
6723 JP Equity,RENESAS ELECTRON,15721128960,1176,Technology,Tokyo,JAPAN,JP,5,9.24,2.85,3/23/2020,11/16/2020,29.86,6.59,6.9,6.48,6.3,3.45,5.13,5.18,5.29,5.8,6.32,7.25,8.27
URI US Equity,UNITED RENTALS,15713522688,1177,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.84210515,217.88,58.85,3/18/2020,11/16/2020,42.51,152.19,166.77,139.52,135.8,95.98,119.28,139.96,145.8,159.63,182.54,175.35,192.67
601360 CH Equity,360 SECURITY T-A,15691732992,1178,Communications,Shanghai,CHINA,CN,4,4.19,2.23,11/3/2020,2/24/2020,-29.79,2.94,3.38,3.15,3.31,2.66,2.64,2.56,2.61,2.86,2.75,2.44,2.25
BJFIN IN Equity,BAJAJ FINSERV LT,15675961344,1179,Financial,Natl India,INDIA,IN,4.714285851,144.99,52.51,5/27/2020,12/18/2019,-14.48,124.88,131.42,127.45,122.71,58.79,67.28,63.03,81.71,81.14,87.03,82.66,76.52
AVTR US Equity,AVANTOR INC,15655631872,1180,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.800000191,28.98,6.66,3/18/2020,11/9/2020,67.44,16.93,18.15,18.6,16,11.78,16.81,18.27,16.99,22.42,22.57,23.08,23.41
HZNP US Equity,HORIZON THERAPEU,15643930624,1181,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,IE,4.75,86.67,23.81,3/18/2020,10/9/2020,133.08,31.93,36.2,34.23,35.2,30.19,35.62,49.89,55.23,63.07,75.47,80.42,73.67
3008 TT Equity,LARGAN PRECISION,15608084480,1182,Industrial,Taiwan,TAIWAN,TW,3.799999952,174.23,102.29,10/14/2020,1/14/2020,-20.4,148,167.43,155.23,145.54,124.12,138.21,135.8,142.12,129.11,119.9,115.79,105.92
PXD US Equity,PIONEER NATURAL,15570981888,1183,Energy,New York,UNITED STATES,US,4.78125,159.01,48.62,3/18/2020,1/6/2020,-23.69,126.78,151.37,132.57,124.32,67.77,82.92,92.91,95.5,97.84,102.98,84.57,82.8
TNB MK Equity,TENAGA NASIONAL,15567497216,1184,Utilities,Bursa Malays,MALAYSIA,MY,4.590909004,3.31,2.29,10/30/2020,11/28/2019,-11.5,3.13,3.24,3.03,2.97,2.71,2.85,2.76,2.68,2.63,2.65,2.5,2.31
601225 CH Equity,SHAANXI COAL I-A,15557318656,1185,Energy,Shanghai,CHINA,CN,4.650000095,1.57,0.94,3/19/2020,11/16/2020,28,1.21,1.29,1.14,1.17,1.06,1.07,1.02,1.03,1.16,1.2,1.24,1.37
AGR US Equity,AVANGRID INC,15540104192,1186,Utilities,New York,UNITED STATES,US,2.111111164,57.24,35.62,3/23/2020,2/25/2020,-0.07,48.09,51.16,53.56,52,41.2,41.44,44.92,43.16,48.99,47.52,51.21,50.23
TATN RM Equity,TATNEFT,15527172096,1187,Energy,MICEX Main,RUSSIA,RU,4.384615421,13.59,4.66,3/19/2020,1/20/2020,-29.72,11.65,12.26,11.78,10.03,6.9,7.29,7.83,7.87,7.46,7.46,5.92,5.2
CE US Equity,CELANESE CORP,15524828160,1188,Basic Materials,New York,UNITED STATES,US,3.956521749,133.95,52.7,3/18/2020,11/9/2020,8.82,124.8,123.12,104.76,96.37,68.05,79.31,89.34,85.73,96.48,105.17,106.04,117.5
000708 CH Equity,CITI PACIFIC S-A,15511552000,1189,Basic Materials,Shenzhen,CHINA,CN,4.692307472,3.31,1.46,2/4/2020,11/16/2020,72.61,1.94,1.94,1.61,2.44,2.06,2.27,2.24,2.42,2.83,2.66,2.43,2.38
ULTA US Equity,ULTA BEAUTY INC,15505187840,1190,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,4.310344696,304.65,124.05,3/18/2020,2/12/2020,14.72,236.27,253.14,274.96,260.99,161.5,214.28,239.09,203.57,191.29,232.88,228.63,210.78
055550 KS Equity,SHINHAN FINANCIA,15499679744,1191,Financial,Korea SE,SOUTH KOREA,KR,4.599999905,39.63,17.46,3/20/2020,12/16/2019,-21.03,36.76,37.5,32.97,27.03,21.62,24.96,25.08,24.72,25.03,25.34,23.73,27.98
1833 HK Equity,PING AN HEALTHCA,15494976512,1192,"Consumer, Cyclical",Hong Kong,CHINA,KY,5,17.42,6.48,11/25/2019,8/3/2020,72.43,6.62,7.3,8.52,9.75,9.51,13.85,13.64,15.21,17.16,14.72,12.81,12.86
GBLB BB Equity,GROUPE BRUX LAMB,15483386880,1193,Financial,EN Brussels,BELGIUM,BE,4.090909004,107.3,61.15,3/16/2020,1/17/2020,-9.6,101.16,105.37,101.1,91.85,74.01,80.08,82.09,83.29,90.44,92.37,90.58,83.12
600547 CH Equity,SHANDONG GOLD-A,15480029184,1194,Basic Materials,Shanghai,CHINA,CN,4.6842103,4.88,2.79,3/19/2020,8/7/2020,12.53,3.03,3.35,3.21,3.52,3.5,3.67,3.78,3.74,4.36,4.36,3.75,3.62
TSCO US Equity,TRACTOR SUPPLY,15473183744,1195,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,3.677419424,157.07,63.89,3/17/2020,10/14/2020,37.71,95.78,93.44,94.41,91.48,84,102.09,122.66,132.68,147.42,149.02,142.05,133.4
FE US Equity,FIRSTENERGY CORP,15450145792,1196,Utilities,New York,UNITED STATES,US,4.058823586,52.51,22.85,7/22/2020,2/18/2020,-34.66,47.52,48.6,51.5,47.32,38.86,40.84,42.76,39.88,29.19,28.26,28.76,29.93
DISCA US Equity,DISCOVERY INC -,15436040192,1197,Communications,NASDAQ GS,UNITED STATES,US,3.666666746,33.65,17.12,3/23/2020,11/27/2019,-20.73,32.74,32.74,29.15,26.4,19.45,21.67,21.94,21.07,21.34,21.42,21.51,21.12
RSP US Equity,INVESCO S&P 500,15435532288,1198,Funds,NYSE Arca,UNITED STATES,US,0,122.61,70.56,3/23/2020,11/16/2020,10.61,112.18,115.72,114.3,107.42,79.88,92.67,101.89,101.62,107.1,111.97,108.5,109.91
KEY US Equity,KEYCORP,15428267008,1199,Financial,New York,UNITED STATES,US,3.260869503,20.52,7.45,3/19/2020,12/20/2019,-13.99,19.06,20.24,18.98,16.97,9.45,11.07,11.85,11.69,12.03,12.53,11.92,13.43
CABK SM Equity,CAIXABANK SA,15395936256,1200,Financial,Soc.Bol SIBE,SPAIN,ES,4.291666508,3.24,1.63,5/20/2020,2/11/2020,-14.53,2.95,3.14,2.95,2.6,1.82,1.8,1.94,2.12,2.24,2.18,2.04,1.87
000100 CH Equity,TCL TECHNOLOGY-A,15386700800,1201,"Consumer, Cyclical",Shenzhen,CHINA,CN,4.611111164,1.12,0.49,11/19/2019,9/2/2020,101.96,0.54,0.64,0.65,0.91,0.62,0.66,0.76,0.86,0.91,1.05,0.91,0.94
TTAN IN Equity,TITAN CO LTD,15340819456,1202,"Consumer, Cyclical",Natl India,INDIA,IN,3.322580576,18.67,9.46,3/24/2020,2/20/2020,11.52,16.1,16.18,16.64,17.13,12.22,12.79,12.69,12.56,14.32,15.33,16.37,15.68
600600 CH Equity,TSINGTAO BREW-A,15299223552,1203,"Consumer, Non-cyclical",Shanghai,CHINA,CN,3.736842155,14.53,5.12,3/19/2020,8/31/2020,73.06,7.19,7.32,6.2,6.22,6.39,7.47,9.03,11.37,11.8,12.64,11.06,11.97
RIBL AB Equity,RIYAD BANK,15294368768,1204,Financial,Saudi Arabia,SAUDI ARABIA,SA,3.538461447,6.85,3.73,3/23/2020,1/13/2020,-9.91,5.81,6.37,6.18,5.51,4.16,4.53,4.65,4.48,4.52,5.07,5.03,4.85
BURL US Equity,BURLINGTON STORE,15281800192,1205,"Consumer, Cyclical",New York,UNITED STATES,US,4.519999981,250.89,105.67,3/19/2020,2/20/2020,13.68,225.55,228.03,222.47,218.41,146,179.46,206.77,195.72,187.5,201.63,208.54,192.58
EN FP Equity,BOUYGUES SA,15281796096,1206,Industrial,EN Paris,FRANCE,FR,4.050000191,44.62,24.53,3/16/2020,2/20/2020,-4.82,40.34,42.48,39.35,39.24,26.62,30.89,31.09,34.6,36.8,39.73,34.03,33.7
EXPD US Equity,EXPEDITORS INTL,15279613952,1207,Industrial,NASDAQ GS,UNITED STATES,US,2.466666698,95.38,52.55,3/23/2020,10/23/2020,20.59,73.78,78.02,72.7,71.94,65.48,71.36,75.59,76.19,85.83,89.68,89.29,88.62
7532 JP Equity,PAN PACIFIC INTE,15271294976,1208,"Consumer, Cyclical",Tokyo,JAPAN,JP,4.111111164,24.68,15.54,3/13/2020,8/25/2020,42.26,16.49,16.67,16.07,16.92,18.9,19.74,20.15,21.97,22.72,23.48,23.21,21.84
REP SM Equity,REPSOL SA,15270349824,1209,Energy,Soc.Bol SIBE,SPAIN,ES,4.193548203,16.23,5.88,10/29/2020,11/18/2019,-42.2,15.67,15.62,13.59,11.42,8.85,9.14,9.59,8.88,7.86,7.88,6.47,6.6
601111 CH Equity,AIR CHINA LTD-A,15254046720,1210,"Consumer, Cyclical",Shanghai,CHINA,CN,4.466666698,1.43,0.89,3/23/2020,1/2/2020,-3.46,1.22,1.39,1.06,1.1,0.93,1.03,0.93,0.94,1,1.06,1.04,0.98
601169 CH Equity,BANK OF BEIJIN-A,15253235712,1211,Financial,Shanghai,CHINA,CN,4.166666508,0.83,0.66,10/30/2020,1/2/2020,-8.25,0.79,0.82,0.73,0.75,0.68,0.71,0.69,0.7,0.7,0.71,0.69,0.7
4755 JP Equity,RAKUTEN INC,15250872320,1212,Communications,Tokyo,JAPAN,JP,3.5,11.93,5.92,3/17/2020,10/13/2020,15.53,8.64,8.61,7.79,8.27,7.32,8.56,9.25,8.87,9.67,8.79,10.72,9.78
EXR US Equity,EXTRA SPACE STOR,15238137856,1213,Financial,New York,UNITED STATES,US,3.571428537,121.07,72.7,3/23/2020,11/9/2020,9.24,104.61,105.62,109.58,105.4,94,87.16,98.82,96.96,101.92,106.85,109.24,115.85
ALNY US Equity,ALNYLAM PHARMACE,15225489408,1214,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,4.333333492,167.33,84.97,3/13/2020,7/20/2020,26.43,118.58,115.17,114.66,114.78,104.54,128.97,133.57,148.77,152.3,130.41,143.74,124.91
WMG US Equity,WARNER MUSIC-A,15223499776,1215,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,3.941176414,34.76,25.61,11/4/2020,6/4/2020,0,0,0,0,0,0,0,0,29.45,29.94,29.88,28.17,26.24
ALL AU Equity,ARISTOCRAT LEISU,15208466432,1216,"Consumer, Cyclical",ASE,AUSTRALIA,AU,4.384615421,25.85,8.73,3/24/2020,2/20/2020,1.75,23.17,23.63,23.8,21.15,13.26,15.48,17.96,17.55,18.36,20.41,21.93,20.18
HTHT US Equity,HUAZHU GROUP LTD,15182676992,1217,"Consumer, Cyclical",NASDAQ GS,CHINA,KY,4.300000191,49.65,25.01,3/19/2020,11/11/2020,48.4,33.83,40.07,34.02,34.57,28.13,32.97,35.17,32.82,34.93,45.36,43.73,39.32
DPZ US Equity,DOMINO'S PIZZA,15161871360,1218,"Consumer, Cyclical",New York,UNITED STATES,US,4.172413826,435.58,270.08,2/3/2020,10/5/2020,35.93,294.05,293.78,270.75,347.52,333.77,357.3,383.58,375.71,387.03,410.15,426.99,376.03
ENPH US Equity,ENPHASE ENERGY,15151065088,1219,Energy,NASDAQ GM,UNITED STATES,US,4.166666508,129.61,17.6,11/21/2019,11/9/2020,571.65,22.07,26.13,32.92,51.4,29.77,43.25,59.68,49.06,61.21,78.71,89.51,103.83
MAA US Equity,MID-AMERICA APAR,15131125760,1220,Financial,New York,UNITED STATES,US,3.666666746,148.88,82,3/23/2020,2/21/2020,-5.09,133.66,131.86,137.15,135.4,98.74,109.63,117.57,117.67,116.88,116.55,120.29,119.84
ANTO LN Equity,ANTOFAGASTA PLC,15112599552,1221,Basic Materials,London,CHILE,GB,2.526315689,15.39,6.82,3/16/2020,11/16/2020,23.91,11.25,12.15,10.86,9.93,9.22,9.76,11.16,11.52,13.93,14.56,12.96,13.07
4151 JP Equity,KYOWA KIRIN CO L,15101123584,1222,"Consumer, Non-cyclical",Tokyo,JAPAN,JP,4.599999905,29,16.67,3/19/2020,9/30/2020,23.12,21.47,23.68,24.12,24.18,21.43,23.12,26.6,25.73,24.68,25.88,28.29,25.42
8830 JP Equity,SUMITOMO REALTY,15087715328,1223,Financial,Tokyo,JAPAN,JP,3.777777672,38.59,19.57,3/19/2020,2/13/2020,-10.62,35.21,35.09,37.28,31.29,23.65,26.13,28.02,26.64,26.15,29.44,29.39,27.53
CPB US Equity,CAMPBELL SOUP CO,15083329536,1224,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.210526228,57.54,40.7,3/26/2020,3/17/2020,5.42,47.14,49.42,48.87,47.98,45.98,50.41,51.72,49.31,49.71,51.4,48.52,47.68
CVAC US Equity,CUREVAC NV,15076956160,1225,"Consumer, Non-cyclical",NASDAQ GM,GERMANY,NL,4.199999809,85.68,36.15,8/14/2020,11/16/2020,0,0,0,0,0,0,0,0,0,0,56.85,47.09,47.08
600918 CH Equity,ZHONGTAI SECUR-A,15071550464,1226,Financial,Shanghai,CHINA,CN,0,3.3,0.74,6/3/2020,7/15/2020,0,0,0,0,0,0,0,0,1.83,2.63,2.32,2.27,1.96
BXP US Equity,BOSTON PROPERTIE,15036710912,1227,Financial,New York,UNITED STATES,US,3.900000095,147.83,69.69,10/29/2020,2/19/2020,-26.62,136.87,137.86,143.17,134.54,85.25,92.93,89,90.05,86.24,85.36,82.83,76.05
BPY-U CN Equity,BROOKFIELD PROPE,15031489536,1228,Financial,Toronto,UNITED STATES,BM,3.666666746,20.21,7.11,4/3/2020,1/20/2020,-9.23,18.9,18.27,18.65,17.09,7.41,8.95,10.33,9.9,11.2,11.61,12.62,13.91
000596 CH Equity,ANHUI GUJINGD-A,15020306432,1229,"Consumer, Non-cyclical",Shenzhen,CHINA,CN,4.913043499,40.43,13.96,3/23/2020,8/28/2020,92.9,15.69,19.52,18.36,17.85,15.94,19.1,21.24,23.08,30.23,36.54,31.92,31.74
002460 CH Equity,GANFENG LITHI-A,15015388160,1230,Basic Materials,Shenzhen,CHINA,CN,4.037036896,12.54,3.54,11/18/2019,11/16/2020,198.89,3.83,5,5.56,7.66,5.86,6.56,7.22,7.74,8.21,7.68,7.98,9.6
600660 CH Equity,FUYAO GLASS-A,15001525248,1231,"Consumer, Cyclical",Shanghai,CHINA,CN,4.103448391,6.71,2.52,3/23/2020,11/5/2020,93.39,3.14,3.45,3.23,3.4,2.66,2.8,2.83,2.97,3.84,4.43,4.77,5.78
RF US Equity,REGIONS FINANCIA,14992528384,1232,Financial,New York,UNITED STATES,US,3.888888836,17.54,6.94,3/19/2020,12/16/2019,-2.04,16.61,17.16,15.86,14.51,8.3,10.17,11.48,10.63,10.76,11.63,11.53,13.76
JPST US Equity,JPM ULTRA-SHT IN,14987303936,1233,Funds,Cboe BZX,UNITED STATES,US,0,50.88,46.02,3/23/2020,7/31/2020,2.33,50.44,50.43,50.51,50.54,49.62,50.26,50.54,50.71,50.82,50.83,50.75,50.75
XLI US Equity,SPDR-INDU SELECT,14967531520,1234,Funds,NYSE Arca,UNITED STATES,US,0,87.99,47.71,3/23/2020,11/16/2020,9.05,80.69,81.47,81.08,75.65,56.35,62.27,67.82,68.39,72.03,78.6,76.75,77.92
1997 HK Equity,WHARF REAL ESTAT,14961222656,1235,Financial,Hong Kong,HONG KONG,KY,3.625,6.32,3.48,8/3/2020,1/17/2020,-9.88,5.53,6.1,5.12,4.69,3.93,4.22,3.97,4.77,3.52,4.14,4.06,3.9
TRN IM Equity,TERNA SPA,14946023424,1236,Utilities,BrsaItaliana,ITALY,IT,3.5,7.68,5.05,3/16/2020,2/20/2020,11.85,6.24,6.68,7.02,6.79,5.96,6.29,6.8,6.93,7.38,7.2,7.06,6.77
IEX US Equity,IDEX CORP,14933723136,1237,Industrial,New York,UNITED STATES,US,4,197.5,104.56,3/18/2020,11/10/2020,22.05,160.19,172,165.06,153.04,133.2,151.29,158.12,155.84,166.29,182.08,178.12,178.76
PKI US Equity,PERKINELMER INC,14928438272,1238,Industrial,New York,UNITED STATES,US,3.400000095,142.65,62.91,3/23/2020,11/6/2020,43.86,92.15,97.1,92.87,86.79,70.83,89.09,101.96,97.09,121.77,119.39,124.86,132.64
BKI US Equity,BLACK KNIGHT,14920925184,1239,Technology,New York,UNITED STATES,US,4.538461685,97.19,50.01,3/23/2020,11/5/2020,53.93,62.63,64.48,67.7,69.17,58.08,69.73,76.98,72.78,75.75,85.48,88.79,88.94
600570 CH Equity,HUNDSUN TECHN-A,14905573376,1240,Technology,Shanghai,CHINA,CN,4.793103218,17.5,7.75,12/3/2019,7/9/2020,53.28,8.01,8.59,8.74,10.83,9.4,11.17,12.02,15.13,15.75,16.34,14.52,13.15
VIC VN Equity,VINGROUP JSC,14896071680,1241,Financial,Ho Chi Minh,VIETNAM,VN,3.5,5.05,2.88,3/25/2020,11/18/2019,-10.52,4.96,4.96,4.94,4.54,3.64,3.92,4.18,3.92,3.78,4,3.99,4.6
601989 CH Equity,CHINA SHIPBUIL-A,14885106688,1242,Industrial,Shanghai,CHINA,CN,4,0.81,0.56,7/1/2020,1/8/2020,-17.97,0.74,0.75,0.65,0.66,0.59,0.59,0.58,0.57,0.72,0.72,0.64,0.61
2688 HK Equity,ENN ENERGY,14884977664,1243,Utilities,Hong Kong,CHINA,KY,4.482758522,13.68,7.79,3/19/2020,11/12/2020,18.08,10.78,10.93,11.81,11.13,9.56,11.3,12.56,11.25,11.98,11.46,10.89,12.22
WORK US Equity,SLACK TECHNOLO-A,14873576448,1244,Technology,New York,UNITED STATES,US,3.559999943,40.07,15.1,3/16/2020,6/4/2020,30.93,22.51,22.48,20.98,27.21,25.75,26.38,37.18,31.06,30.5,34.3,27.92,25.05
FTCH US Equity,FARFETCH LTD-A,14869568512,1245,Communications,New York,BRITAIN,KY,4.375,50.36,5.99,3/18/2020,11/13/2020,390.22,9.88,10.35,12.09,10.9,7.15,12.68,13.92,18.06,26.23,28.5,27.11,32
SCHD US Equity,SCHWAB DVD EQ,14864832512,1246,Funds,NYSE Arca,UNITED STATES,US,0,62.9,38.83,3/23/2020,11/16/2020,14.1,56.83,57.92,57.06,53.81,43.56,49.32,52.46,51.26,54.72,57.46,55.27,56.75
DRE US Equity,DUKE REALTY CORP,14837132288,1247,Financial,New York,UNITED STATES,US,4.125,43.45,25.19,3/23/2020,11/9/2020,12.42,34.64,34.67,36.31,33.9,30.18,33.3,35.2,36.12,39.67,38.56,37.49,39.04
LYV US Equity,LIVE NATION ENTE,14833461248,1248,"Consumer, Cyclical",New York,UNITED STATES,US,3.941176414,76.6,21.7,3/18/2020,2/19/2020,-1.92,69.01,71.47,68.6,57.96,38.88,41.17,50.66,46.02,46.67,57.2,53.74,50.23
8630 JP Equity,SOMPO HOLDINGS I,14807018496,1249,Financial,Tokyo,JAPAN,JP,4.714285851,41.39,21.68,3/19/2020,12/13/2019,-5.38,40.09,39.58,37.66,36.35,30.27,31.35,35.23,33.68,33.27,37.46,34.38,37.29
601006 CH Equity,DAQIN RAILWAY -A,14806928384,1250,Industrial,Shanghai,CHINA,CN,4.263157845,1.18,0.91,9/25/2020,12/30/2019,-8.86,1.12,1.18,1.03,1.04,0.95,1.02,0.96,0.99,0.93,0.97,0.94,0.95
CCL LN Equity,CARNIVAL PLC,14775707648,1251,"Consumer, Cyclical",London,UNITED STATES,GB,3.099999905,48.86,7.01,4/2/2020,12/24/2019,-62.66,41.8,48.31,40.35,29.88,9.66,12.55,14.14,12.74,10.47,13.59,12.5,11.33
BIV US Equity,VANGUARD INTERME,14765933568,1252,Funds,NYSE Arca,UNITED STATES,US,0,94.43,83.21,3/19/2020,8/6/2020,9.19,87.26,87.22,89.1,90.63,89.05,90.97,92.34,93.08,94.12,93.74,93.38,92.69
MKL US Equity,MARKEL CORP,14725189632,1253,Financial,New York,UNITED STATES,US,3.857142925,1347.64,710.52,3/23/2020,2/21/2020,-10.18,1121.92,1143.17,1178.07,1262.7,885.72,834.08,897.75,914.17,1048.34,1087.82,965.65,960.03
IGLN LN Equity,ISHA GOLD - USD,14723893248,1254,Funds,London,IRELAND,IE,0,40.43,28.3,3/16/2020,8/6/2020,26.08,28.67,29.77,30.87,31.2,31.03,33.21,34.03,34.45,38.52,38.6,37.34,36.97
PUM GR Equity,PUMA SE,14716030976,1255,"Consumer, Cyclical",Xetra,GERMANY,DE,4.28000021,101.06,42.74,3/19/2020,11/10/2020,25.27,74.53,76.65,79.13,76.58,56.37,62.48,72.14,78.65,77.36,82.42,92.81,87.33
CCL US Equity,CARNIVAL CORP,14711054336,1256,"Consumer, Cyclical",New York,UNITED STATES,PA,3.111111164,51.94,7.8,4/2/2020,1/17/2020,-58.15,44.49,50.83,42.75,33.06,8.8,13.93,16.8,16.36,13.07,16.51,15.03,13.55
VOD SJ Equity,VODACOM GROUP,14685774848,1257,Communications,Johannesburg,SOUTH AFRICA,ZA,3.545454502,8.95,5.47,3/17/2020,8/19/2020,3.54,7.89,8.24,7.89,7.17,6.45,6.54,7.32,7.13,7.45,7.67,7.3,7.6
ET US Equity,ENERGY TRANSFER,14675577856,1258,Energy,New York,UNITED STATES,US,4.300000191,13.86,3.75,3/18/2020,1/6/2020,-38.37,11.63,12.83,12.8,11.83,5.03,7.81,8.21,7.09,6.74,6.29,5.42,5.17
600015 CH Equity,HUAXIA BANK CO-A,14668133376,1259,Financial,Shanghai,CHINA,CN,2.900000095,1.12,0.86,11/2/2020,1/2/2020,-11.06,1.06,1.1,1,1.02,0.91,0.93,0.9,0.88,0.92,0.93,0.9,0.9
TRMB US Equity,TRIMBLE INC,14657790976,1260,Industrial,NASDAQ GS,UNITED STATES,US,4.333333492,60.32,20.01,3/18/2020,11/9/2020,46.66,40.4,41.69,43.51,41,29.1,32.86,40.07,42.75,45.54,53.41,48.87,50.74
002311 CH Equity,GUANGDONG HAID-A,14655718400,1261,"Consumer, Non-cyclical",Shenzhen,CHINA,CN,4.846153736,11.05,4.22,12/3/2019,9/3/2020,90.15,4.4,5.17,4.7,5.11,5.47,6.11,6.64,6.77,9.46,10.6,9.03,9.24
WPL AU Equity,WOODSIDE PETRO,14632517632,1262,Energy,ASE,AUSTRALIA,AU,4.1875,24.95,8.66,3/23/2020,1/8/2020,-33.41,23.32,24.12,22.54,18.51,11.96,13.57,15.55,14.95,14.27,14.03,12.61,12.26
CTXS US Equity,CITRIX SYSTEMS,14587680768,1263,Technology,NASDAQ GS,UNITED STATES,US,3.888888836,173.56,100.31,2/28/2020,7/22/2020,7.77,111.91,110.9,122.67,108.78,139.14,142.58,146.65,149.38,139.85,145.23,139.2,114.43
NICE IT Equity,NICE LTD,14584123392,1264,Communications,Tel Aviv,ISRAEL,IL,4.199999809,258.44,112.45,3/18/2020,11/9/2020,52.29,148.88,156.22,173.27,163.85,143.26,165.52,183.42,190.99,204.07,234.75,228.04,230.92
POW CN Equity,POWER CORP CDA,14565655552,1265,Financial,Toronto,CANADA,CA,4,26.74,12.04,3/23/2020,12/16/2019,-1.92,24.34,25.76,24.79,22.72,14.88,15.35,17.05,17.58,17.73,20.02,19.63,19.36
TXG US Equity,10X GENOMICS I-A,14553822208,1266,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,5,166.31,48.78,3/23/2020,10/19/2020,113.9,64.75,76.25,93.82,79.37,58.39,78.41,81.95,88,99.01,113.73,126.47,136.05
LSXMA US Equity,LIBERTY MEDIA- A,14551772160,1267,Communications,NASDAQ GS,UNITED STATES,US,4.777777672,50.23,22.15,3/18/2020,2/21/2020,-7.6,47.32,47.5,48.02,44.51,29.4,32.14,37.36,34.97,35.55,36,34.68,35.03
FMC US Equity,FMC CORP,14531504128,1268,Basic Materials,New York,UNITED STATES,US,4.761904716,115.9,56.77,3/18/2020,11/9/2020,20.54,97.86,99.82,97.61,96.91,76.97,89.92,98.88,99.36,105.74,110.15,103.19,106.95
PAGS US Equity,PAGSEGURO DIGI-A,14501848064,1269,Financial,New York,BRAZIL,KY,4.3157897,45.76,13.58,3/19/2020,8/28/2020,19.53,31.75,34.16,33.35,31.9,18.5,25.56,33.02,35.94,38.71,43.8,39.14,37.49
MAS US Equity,MASCO CORP,14468060160,1270,Industrial,New York,UNITED STATES,US,4.368421078,60.16,27.04,3/23/2020,9/16/2020,22.49,45.86,47.99,48.2,43.35,33.2,40.04,46.7,49.65,57.72,59.36,55.14,54.74
6881 HK Equity,CGS-H,14461714432,1271,Financial,Hong Kong,CHINA,CN,4.125,0.82,0.43,3/19/2020,7/7/2020,22.07,0.51,0.59,0.5,0.56,0.47,0.51,0.5,0.54,0.61,0.59,0.56,0.59
